AD_name,GPU,class,type,streaming,tuning
CNN,1,Prediction,Forecasting,0,0
OmniAnomaly,1,Prediction,Reconstruction,0,0
PCA,0,Density,Encoding,0,0
USAD,1,Prediction,Reconstruction,0,0
AutoEncoder,1,Prediction,Reconstruction,0,0
KMeansAD,0,Distance,Clustering,0,0
CBLOF,0,Distance,Proximity,0,0
OCSVM,0,Density,Distribution,0,0
RobustPCA,0,Density,Encoding,0,0
FITS,1,Prediction,Reconstruction,0,0
IForest,0,Density,Tree,0,0
HBOS,0,Density,Distribution,0,0
TimesNet,1,Prediction,Reconstruction,0,0
KNN,0,Distance,Proximity,0,0
TranAD,1,Prediction,Reconstruction,0,0
LOF,0,Distance,Proximity,0,0
AnomalyTransformer,1,Prediction,Reconstruction,0,0
LSTMAD,1,Prediction,Forecasting,0,0
MCD,0,Density,Distribution,0,0
LODA,0,Density,Distribution,1,0
RRCF,0,Density,Tree,1,1
RSHash,0,Density,Distribution,1,1
HSTree,0,Density,Tree,1,1
MemStream,1,Density,Encoding,1,1
LEAP,0,Distance,Proximity,1,1
MCOD,0,Distance,CLustering,1,1
SWKNN,0,Distance,Proximity,1,1
xStream,0,Density,Encoding,1,1
SDOstream,0,Distance,Proximity,1,1
